#Fitted sigma (resolution of t_l-t_r) for each bar
#Created by jeppe on Thu Aug 15 09:08:23 2024 using inputfile /media/jeppe/2TB/unpackedAUSA/run_155.root
#BarName 	Sigma (cm/ps)	SigmaError (cm/ps)
I2	812.07	19.5498
I3	774.937	17.5809
I4	806.152	17.646
I5	766.144	15.5252
I6	800.301	16.953
I7	693.578	14.2027
I8	741.81	13.5127
I9	839.558	14.6715
I10	766.757	13.9073
I11	674.231	11.5194
I12	740.329	12.846
I13	731.985	12.6954
I14	746.984	13.2919
I15	779.517	12.8528
I16	770.077	12.998
I17	851.516	15.1259
I18	846.059	15.5631
I19	912.395	15.8944
I20	1026.14	19.3687
I21	848.089	19.5441
I22	773.119	19.605
