#Fitted speed of light for each bar
#Created by jeppe on Thu Aug 15 09:08:23 2024 using inputfile /media/jeppe/2TB/unpackedAUSA/run_155.root
#BarName 	Speed (cm/ps)	SpeedError (cm/ps)
I2	0.0145497	4.17089e-05
I3	0.0145703	3.72278e-05
I4	0.0144915	3.70636e-05
I5	0.0145546	3.39828e-05
I6	0.0147849	3.65172e-05
I7	0.014603	2.81082e-05
I8	0.0148466	3.03326e-05
I9	0.0151775	3.50313e-05
I10	0.0147611	3.00682e-05
I11	0.0146855	2.26025e-05
I12	0.014859	2.76906e-05
I13	0.0147494	2.81784e-05
I14	0.0148471	2.91848e-05
I15	0.0149964	2.9894e-05
I16	0.01492	3.00747e-05
I17	0.0150455	3.60434e-05
I18	0.0150295	3.73319e-05
I19	0.015356	4.29941e-05
I20	0.0153611	5.64768e-05
I21	0.0147973	4.6442e-05
I22	0.0144512	3.9648e-05
